player_id,player_name,age,nationality,height,foot,position,current_club,league,appearances,minutes_played,minutes_per_game,goals,assists,goals_per_90,assists_per_90,npg_per90,npxg_per90,xag_per90,npxg_xag_per90,xg_per90,shots_per90,shots_on_target_per90,shots_on_target_pct,avg_shot_distance,sca_per90,gca_per90,key_passes_per90,passes_completed_per90,pass_completion_pct,passes_into_final_third_per90,passes_into_penalty_area_per90,progressive_passes_per90,progressive_passes_rec_per90,progressive_carries_per90,take_ons_per90,take_on_success_pct,carries_per90,carries_into_final_third_per90,touches_per90,touches_att_third_per90,touches_att_pen_per90,passes_received_per90,tackles_per90,interceptions_per90,blocks_per90,ball_recoveries_per90,aerials_won_per90,aerial_win_pct,yellow_cards_per90,red_cards_per90,fouls_committed_per90,goals_against_per90,shots_on_target_against_per90,saves_per90,save_percentage,clean_sheet_pct,psxg_per_shot,psxg_ga_per90,penalty_save_pct,passes_attempted_per90,launch_pct,avg_pass_length,def_actions_outside_pen_per90,avg_distance_def_actions,crosses_stopped_pct,wins_per90,draws_per90,losses_per90,market_value
stanislav-agkatsev-991a77,Stanislav Agkatsev,23.0,Russia,188.0,Right,GK,Krasnodar,Russian Premier League,30,2700,90.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0
diego-b0e272,Diego,26.0,Brazil,184.0,Right,DF,Krasnodar,Russian Premier League,28,2508,89.6,1,0,0.04,0.0,0.0,0.02,0.01,0.03,0.02,0.4,0.2,50.0,10.0,1.01,0.0,0.3,58.29,87.9,4.43,0.3,4.03,0.2,0.4,0.2,66.7,45.2,0.4,76.61,3.12,0.81,54.06,1.31,1.21,1.01,3.93,3.52,72.9,0.2,0.0,1.61,,,,,,,,,,,,,,,,,,0.4
batxi-a052a2,Batxi,27.0,Angola,174.0,,FW-MF,Krasnodar,Russian Premier League,30,2210,73.7,5,7,0.2,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
lucas-olaza-eca121,Lucas Olaza,31.0,Uruguay,173.0,Left,DF,Krasnodar,Russian Premier League,27,2368,87.7,1,2,0.04,0.08,0.0,0.02,0.06,0.08,0.02,0.3,0.12,40.0,26.4,1.75,0.06,0.96,36.51,76.0,2.05,1.02,3.98,5.42,0.72,0.24,36.4,24.88,0.9,55.96,16.14,0.66,28.92,1.45,0.84,1.2,4.34,1.63,47.4,0.18,0.0,0.72,,,,,,,,,,,,,,,,,,4.0
eduard-spertsyan-b5f47a,Eduard Spertsyan,25.0,Armenia,178.0,Right,MF,Krasnodar,Russian Premier League,28,2283,81.5,11,6,0.43,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0
jhon-cordoba-dffd31,Jhon Córdoba,32.0,Colombia,188.0,Right,FW,Krasnodar,Russian Premier League,25,2207,88.3,12,4,0.49,0.16,0.43,0.3,0.17,0.48,0.3,2.39,0.65,27.3,10.5,2.17,0.43,1.52,9.57,71.0,0.43,0.43,1.09,4.57,0.65,0.43,18.2,10.65,0.43,24.35,11.74,5.65,15.87,0.65,0.0,1.09,2.39,4.35,58.8,0.43,0.0,2.17,,,,,,,,,,,,,,,,,,12.0
kevin-pina-26ea62,Kevin Pina,28.0,Cape Verde,181.0,,MF,Krasnodar,Russian Premier League,29,2091,72.1,3,1,0.13,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
victor-sa-663db8,Victor Sá,31.0,Brazil,178.0,Right,FW-MF,Krasnodar,Russian Premier League,25,1882,75.3,4,3,0.19,0.14,0.17,0.21,0.08,0.29,0.21,1.99,0.85,42.6,18.5,3.05,0.47,1.57,24.58,80.0,1.44,0.97,1.78,9.52,3.09,1.35,43.8,26.32,1.57,44.17,19.42,3.64,30.38,2.58,1.27,1.18,4.23,0.76,29.0,0.13,0.0,1.31,,,,,,,,,,,,,,,,,,3.0
aleksandr-chernikov-f91fc3,Aleksandr Chernikov,25.0,Russia,184.0,Right,MF,Krasnodar,Russian Premier League,27,1853,68.6,2,1,0.1,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
vitor-tormena-aee590,Vítor Tormena,29.0,Brazil,192.0,Right,DF,Krasnodar,Russian Premier League,23,2052,89.2,2,1,0.09,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.6,0.2,0.2,64.6,85.0,6.6,0.0,5.4,0.2,0.4,0.0,,58.0,0.4,85.0,1.0,0.2,60.6,1.6,0.8,0.8,6.0,2.4,80.0,0.2,0.0,1.2,,,,,,,,,,,,,,,,,,8.0
sergei-petrov-510b2c,Sergei Petrov,34.0,Russia,180.0,Right,DF-MF,Krasnodar,Russian Premier League,27,1697,62.9,0,1,0.0,0.05,0.0,0.02,0.03,0.05,0.02,0.17,0.0,0.0,11.4,1.17,0.0,0.5,41.83,81.5,2.33,0.17,3.17,5.17,0.83,0.33,100.0,33.33,0.83,60.33,9.5,0.83,33.0,1.83,0.83,0.5,4.5,1.17,50.0,0.0,0.0,0.17,,,,,,,,,,,,,,,,,,
kaio-pantaleao-93ba7d,Kaio Pantaleão,30.0,Brazil,183.0,Right,DF,Krasnodar,Russian Premier League,13,992,76.3,1,0,0.09,0.0,0.0,0.06,0.0,0.07,0.06,0.77,0.19,25.0,13.4,0.77,0.0,0.1,46.3,88.1,3.18,0.0,2.89,0.48,0.96,0.39,44.4,39.36,0.58,63.57,2.8,0.96,43.22,0.96,1.45,0.77,5.11,2.8,63.0,0.19,0.1,1.16,,,,,,,,,,,,,,,,,,1.8
nikita-krivtsov-750e47,Nikita Krivtsov,23.0,Russia,184.0,Right,MF,Krasnodar,Russian Premier League,27,1175,43.5,5,0,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
giovanni-gonzalez-40db86,Giovanni González,31.0,Uruguay,175.0,Right,DF,Krasnodar,Russian Premier League,22,1043,47.4,0,0,0.04,0.04,0.04,0.02,0.05,0.07,0.02,0.51,0.15,28.6,21.3,1.86,0.11,0.77,34.19,75.2,2.92,1.02,3.32,3.47,1.02,0.55,50.0,23.67,0.66,54.94,11.58,0.84,27.5,2.67,1.13,0.88,5.63,1.35,50.7,0.22,0.0,1.39,,,,,,,,,,,,,,,,,,2.5
kevin-castano-84c0bf,Kevin Castaño,25.0,Colombia,177.0,,MF,River Plate,Argentine Liga,19,1431,75.3,0,0,0.0,0.04,0.0,0.02,0.07,0.09,0.02,0.61,0.04,6.7,25.8,2.94,0.12,1.35,52.71,85.4,5.75,0.37,6.69,2.69,1.14,0.61,51.7,42.43,1.22,72.33,13.38,0.73,52.06,2.53,0.9,0.98,6.77,0.69,45.9,0.41,0.0,1.71,,,,,,,,,,,,,,,,,,8.0
olakunle-olusegun-56606d,Olakunle Olusegun,23.0,Nigeria,167.0,,FW-MF,Krasnodar,Russian Premier League,19,589,31.0,2,0,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5
moses-david-cobnan-44d252,Moses David Cobnan,23.0,Nigeria,178.0,,MF,Krasnodar,Russian Premier League,25,587,23.5,4,1,0.61,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9
danila-kozlov-f209f4,Danila Kozlov,20.0,Russia,183.0,Right,MF,Krasnodar,Russian Premier League,23,432,18.8,2,0,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
fyodor-smolov-b9faa8,Fyodor Smolov,,Russia,187.0,Right,FW-MF,Krasnodar,Russian Premier League,16,416,26.0,1,1,0.22,0.22,0.0,0.32,0.04,0.36,0.32,3.21,0.86,26.7,16.6,3.21,0.0,0.64,14.32,58.3,1.92,1.07,2.78,7.05,1.92,0.86,36.4,20.31,1.5,36.77,18.38,4.28,25.87,0.43,0.64,0.64,1.5,0.64,60.0,0.21,0.0,1.28,,,,,,,,,,,,,,,,,,
yuri-gazinskiy-27e758,Yuri Gazinskiy,,Russia,184.0,Right,MF,Krasnodar,Russian Premier League,3,15,5.0,1,0,6.0,0.0,0.0,0.02,0.07,0.1,0.02,0.48,0.0,0.0,15.0,2.4,0.0,1.2,39.12,80.3,2.64,1.92,5.52,2.64,0.96,0.48,100.0,35.04,0.72,58.08,11.76,2.64,36.96,1.68,3.12,1.2,8.4,1.92,80.0,0.0,0.0,0.96,,,,,,,,,,,,,,,,,,
aleksandr-ektov-f618ff,Aleksandr Ektov,29.0,Russia,173.0,,DF-MF,Krasnodar,Russian Premier League,1,6,6.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8
yuri-dyupin-d97415,Yuri Dyupin,37.0,Russia,186.0,Left,GK,Krasnodar,Russian Premier League,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daniil-golikov-66786e,Daniil Golikov,21.0,Russia,193.0,,GK,Krasnodar,Russian Premier League,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2
valentin-grishin-496d5c,Valentin Grishin,22.0,Russia,188.0,,GK,Krasnodar,Russian Premier League,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
georgi-harutyunyan-b0117d,Georgi Harutyunyan,21.0,Armenia,189.0,,DF,Krasnodar,Russian Premier League,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artem-khmarin-6424eb,Artem Khmarin,18.0,Russia,180.0,,DF,Krasnodar,Russian Premier League,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2
aleksandr-koksharov-91ff61,Aleksandr Koksharov,20.0,Russia,188.0,,FW,Krasnodar,Russian Premier League,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8
marat-kulaev-68a67e,Marat Kulaev,18.0,Russia,179.0,,DF,Krasnodar,Russian Premier League,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
danil-ladokha-8dc891,Danil Ladokha,19.0,Russia,192.0,,GK,Krasnodar,Russian Premier League,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2
kirill-larionov-f28add,Kirill Larionov,19.0,Russia,187.0,,DF,Krasnodar,Russian Premier League,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05
bogdan-matsola-b252d5,Bogdan Matsola,19.0,Russia,187.0,Right,DF,Krasnodar,Russian Premier League,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05
egor-postrigan-81ad19,Egor Postrigan,18.0,Russia,189.0,,GK,Krasnodar,Russian Premier League,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roman-safronov-035b2e,Roman Safronov,22.0,Russia,185.0,,GK,Krasnodar,Russian Premier League,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1
artem-sidorenko-efca70,Artem Sidorenko,18.0,Russia,170.0,,MF,Krasnodar,Russian Premier League,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
douglas-santos-bfc025,Douglas Santos,31.0,Brazil,173.0,Left,DF-MF,Zenit,Russian Premier League,30,2697,89.9,0,3,0.0,0.1,0.0,0.04,0.3,0.35,0.04,1.02,0.0,0.0,25.9,3.66,0.41,2.84,45.91,77.1,3.25,2.03,4.47,4.27,2.23,0.61,100.0,36.77,1.63,72.53,21.94,1.22,44.09,3.25,2.03,1.63,6.09,0.81,50.0,0.0,0.0,0.81,,,,,,,,,,,,,,,,,,9.0
nino-f302c4,Nino,28.0,Brazil,188.0,Right,DF,Zenit,Russian Premier League,30,2567,85.6,2,1,0.07,0.04,0.08,0.06,0.03,0.09,0.06,0.49,0.16,33.3,12.9,0.73,0.24,0.24,62.35,89.6,3.24,0.24,3.16,0.24,0.81,0.24,42.9,47.03,0.73,78.81,2.19,0.81,58.14,0.65,1.7,0.89,5.43,3.32,66.1,0.32,0.0,1.14,,,,,,,,,,,,,,,,,,7.0
wilmar-barrios-98355c,Wílmar Barrios,32.0,Colombia,178.0,Right,MF,Zenit,Russian Premier League,28,2446,87.4,0,0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.17,0.0,0.0,28.5,1.0,0.17,0.17,44.5,89.3,3.83,0.33,4.0,0.5,0.5,0.5,60.0,36.83,0.33,60.33,4.17,0.0,40.67,2.5,1.5,1.33,8.33,0.5,50.0,0.17,0.0,1.17,,,,,,,,,,,,,,,,,,8.0
yevgeni-latyshonok-b5bdb5,Yevgeni Latyshonok,27.0,Russia,,Right,GK,Zenit,Russian Premier League,27,2373,87.9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wendel-38d2f0,Wendel,28.0,Brazil,180.0,Right,MF,Zenit,Russian Premier League,22,1783,81.0,1,10,0.05,0.5,0.19,0.17,0.04,0.21,0.17,1.31,0.75,57.1,20.0,2.25,0.19,0.56,49.4,88.6,4.68,0.56,6.17,2.62,2.43,0.56,60.0,43.22,1.68,66.42,13.66,2.06,51.08,2.25,1.12,1.12,6.74,0.56,60.0,0.19,0.0,0.75,,,,,,,,,,,,,,,,,,3.0
gustavo-mantuan-260906,Gustavo Mantuan,24.0,Brazil,175.0,Right,DF-MF,Zenit,Russian Premier League,27,1638,60.7,3,4,0.16,0.22,0.31,0.19,0.06,0.25,0.19,1.98,0.83,42.1,17.4,1.88,0.1,0.63,32.85,77.4,2.5,0.83,3.44,7.4,2.19,1.88,52.9,34.73,1.77,56.32,20.75,2.71,38.48,1.46,0.73,1.36,4.28,0.94,56.3,0.0,0.0,0.83,,,,,,,,,,,,,,,,,,4.0
maksim-glushenkov-be9c65,Maksim Glushenkov,26.0,Russia,180.0,Left,FW-MF,Zenit,Russian Premier League,20,1264,63.2,9,2,0.64,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0
luciano-gondou-1a50e1,Luciano Gondou,24.0,Argentina,189.0,Left,FW,Zenit,Russian Premier League,23,1408,61.2,10,1,0.64,0.06,0.17,0.2,0.02,0.22,0.2,2.54,1.18,46.7,19.0,3.38,0.17,0.85,15.73,66.4,1.69,0.68,2.2,8.8,2.37,1.69,52.6,21.32,1.35,34.17,20.98,5.24,26.39,0.51,0.17,0.51,3.72,1.02,28.6,0.0,0.0,0.85,,,,,,,,,,,,,,,,,,10.0
andrei-mostovoy-dde2a5,Andrei Mostovoy,28.0,Russia,177.0,Right,FW-MF,Zenit,Russian Premier League,26,1389,53.4,9,4,0.58,0.26,0.0,0.23,0.0,0.23,0.23,1.83,0.0,0.0,19.6,1.83,0.0,0.0,28.78,75.0,0.91,0.91,1.37,5.94,3.2,1.83,57.1,29.24,3.2,44.77,26.04,3.65,36.55,0.0,0.46,0.46,2.28,2.28,50.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
pedrinho-santos-439dd1,Pedrinho Santos,19.0,Brazil,171.0,Both,MF,Zenit,Russian Premier League,26,1385,53.3,5,3,0.32,0.19,0.15,0.16,0.03,0.19,0.16,1.31,0.73,55.6,13.3,2.77,0.15,0.87,23.74,73.4,1.89,0.58,3.06,7.57,3.79,2.62,45.0,29.71,2.18,45.15,20.83,2.91,32.91,1.31,0.73,0.87,3.64,0.73,29.4,0.15,0.0,1.75,,,,,,,,,,,,,,,,,,
claudinho-c76f83,Claudinho,28.0,Brazil,172.0,Right,FW-MF,Zenit,Russian Premier League,16,1195,74.7,0,5,0.39,0.38,0.39,0.26,0.22,0.47,0.26,2.57,0.79,30.8,19.4,5.13,0.2,2.57,45.79,83.8,2.57,0.79,3.55,5.13,1.58,1.78,52.9,44.61,0.99,70.26,25.07,3.16,49.54,1.97,0.99,1.58,5.53,0.2,12.5,0.2,0.0,1.18,,,,,,,,,,,,,,,,,,15.0
luiz-henrique-86d458,Luiz Henrique,24.0,Brazil,182.0,Left,FW-MF,Zenit,Russian Premier League,11,957,87.0,2,2,0.19,0.19,0.21,0.23,0.14,0.36,0.25,2.1,0.78,37.3,19.2,3.52,0.25,1.14,21.85,76.3,1.6,1.1,2.63,9.27,3.02,3.2,56.6,27.47,1.78,42.53,22.49,4.05,31.27,1.67,0.39,1.35,3.91,0.89,38.5,0.11,0.0,1.31,,,,,,,,,,,,,,,,,,25.0
aleksandr-sobolev-8ea84b,Aleksandr Sobolev,28.0,Russia,195.0,Right,FW,Zenit,Russian Premier League,23,886,38.5,4,2,0.41,0.2,0.87,0.61,0.29,0.87,0.81,2.32,0.87,37.5,11.4,2.89,0.58,1.74,16.5,67.9,0.87,1.16,3.47,5.21,0.87,1.16,33.3,20.26,0.87,41.67,16.78,5.21,30.68,1.16,0.29,0.87,2.6,5.5,51.4,0.87,0.0,1.16,,,,,,,,,,,,,,,,,,6.0
vyacheslav-karavayev-95355c,Vyacheslav Karavayev,30.0,Russia,175.0,Right,DF,Zenit,Russian Premier League,12,743,61.9,0,0,0.0,0.0,0.0,0.06,0.03,0.09,0.06,0.91,0.0,0.0,17.3,1.21,0.3,0.61,38.48,83.0,3.64,0.91,4.24,3.33,2.12,0.0,0.0,33.03,1.52,55.45,13.94,0.91,32.73,1.82,0.3,0.91,3.94,0.3,20.0,0.3,0.0,0.61,,,,,,,,,,,,,,,,,,
nuraly-alip-41a778,Nuraly Alip,25.0,Kazakhstan,190.0,,DF,Zenit,Russian Premier League,19,980,51.6,1,1,0.09,0.09,0.0,0.02,0.0,0.02,0.02,0.34,0.17,50.0,18.0,0.51,0.0,0.17,19.81,63.7,3.59,0.34,3.42,0.51,0.17,0.85,83.3,16.22,0.51,43.21,3.42,0.68,17.25,2.39,2.39,1.88,7.17,2.22,86.7,0.0,0.0,1.37,,,,,,,,,,,,,,,,,,2.5
vanja-drkusic-ea76ac,Vanja Drkušič,26.0,Slovenia,186.0,Right,DF,Zenit,Russian Premier League,7,444,63.4,0,0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,,,0.23,0.0,0.23,19.38,77.1,0.92,0.23,0.69,0.23,0.0,0.23,100.0,15.46,0.0,33.69,0.46,0.23,17.31,2.77,0.23,0.69,3.0,1.38,60.0,0.23,0.0,1.62,,,,,,,,,,,,,,,,,,4.0
yuri-gorshkov-d5282c,Yuri Gorshkov,26.0,Russia,175.0,Left,DF-MF,Zenit,Russian Premier League,15,505,33.7,0,1,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
denis-adamov-909a0e,Denis Adamov,27.0,Russia,192.0,Right,GK,Zenit,Russian Premier League,4,327,81.8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8
sasa-zdjelar-155658,Saša Zdjelar,26.0,Serbia,183.0,Right,MF,Zenit,Russian Premier League,7,270,38.6,0,0,0.0,0.22,0.0,0.01,0.09,0.1,0.01,0.44,0.0,0.0,25.3,1.44,0.33,0.78,47.78,80.1,6.89,0.56,8.44,1.44,0.67,0.22,28.6,38.22,1.11,70.22,7.0,0.22,42.33,2.78,0.89,1.44,9.78,0.89,53.3,0.11,0.0,2.33,,,,,,,,,,,,,,,,,,3.0
sergey-volkov-20453e,Sergey Volkov,23.0,Russia,179.0,Right,DF,Zenit,Russian Premier League,3,124,41.3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
artur-7d7693,Artur,27.0,Brazil,168.0,Left,FW-MF,Zenit,Russian Premier League,11,254,23.1,1,2,0.35,0.71,0.29,0.26,0.21,0.48,0.26,2.22,0.86,38.9,18.2,4.35,0.53,1.97,23.21,77.1,1.56,1.68,3.66,8.83,3.53,1.64,44.9,25.92,2.22,40.54,23.54,4.4,29.12,0.7,0.49,0.58,3.2,0.37,39.1,0.12,0.0,0.78,,,,,,,,,,,,,,,,,,0.25
ognjen-mimovic-8369c9,Ognjen Mimovic,21.0,Serbia,179.0,,DF,Zenit,Russian Premier League,4,110,27.5,0,0,0.0,0.0,0.0,0.05,0.02,0.07,0.05,0.49,0.24,50.0,8.0,1.46,0.0,0.24,41.59,81.0,2.43,0.73,3.41,5.35,2.43,0.97,36.4,32.84,1.7,64.22,19.7,0.97,33.81,3.41,1.22,1.22,6.08,0.49,50.0,0.0,0.0,0.49,,,,,,,,,,,,,,,,,,3.5
rodrigao-11d00f,Rodrigão,30.0,Brazil,191.0,Right,DF,Zenit,Russian Premier League,2,70,35.0,0,0,0.04,0.04,0.04,0.02,0.01,0.03,0.02,0.5,0.12,25.0,11.5,0.83,0.17,0.21,37.58,79.5,3.43,0.12,3.27,0.21,0.21,0.21,83.3,29.89,0.12,56.43,1.9,0.99,34.11,0.95,1.41,1.36,5.87,2.4,69.0,0.17,0.0,0.83,,,,,,,,,,,,,,,,,,3.0
aleksandr-erokhin-a080ba,Aleksandr Erokhin,36.0,Russia,195.0,Right,MF,Zenit,Russian Premier League,20,257,12.8,2,0,0.7,0.0,0.33,0.23,0.03,0.3,0.23,1.0,0.33,33.3,12.7,0.66,0.0,1.0,16.94,76.1,1.0,0.33,1.99,4.65,1.0,0.33,20.0,15.94,0.66,34.54,14.94,2.32,21.25,1.99,1.33,1.0,4.32,1.33,30.8,0.0,0.0,2.32,,,,,,,,,,,,,,,,,,0.25
wilson-isidor-2d23c2,Wilson Isidor,25.0,France,179.0,Right,FW-MF,Zenit,Russian Premier League,3,62,20.7,1,0,1.45,0.0,0.49,0.32,0.0,0.32,0.32,3.06,0.86,28.0,13.8,0.98,0.0,0.0,5.02,62.1,0.61,0.12,0.73,4.29,0.61,0.49,26.7,9.31,0.61,17.39,8.82,4.16,11.88,0.61,0.0,0.49,1.1,1.59,32.5,0.0,0.0,1.1,,,,,,,,,,,,,,,,,,15.0
ilzat-akhmetov-474361,Ilzat Akhmetov,27.0,Russia,172.0,Right,MF,Zenit,Russian Premier League,5,55,11.0,0,0,0.0,0.26,0.0,0.1,0.21,0.31,0.1,2.31,0.51,22.2,20.9,3.85,0.51,1.79,46.41,86.6,4.36,2.82,6.92,5.13,1.28,1.54,85.7,39.49,1.79,63.08,20.0,1.79,47.44,1.28,1.79,0.51,6.15,0.26,50.0,0.0,0.0,0.77,,,,,,,,,,,,,,,,,,1.5
ivan-sergeyev-37e912,Ivan Sergeyev,30.0,Russia,183.0,Right,FW-MF,Zenit,Russian Premier League,3,22,7.3,0,1,,4.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
dmitrii-vasilev-1cf27b,Dmitrii Vasilev,21.0,Russia,184.0,,DF,Zenit,Russian Premier League,2,7,3.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matvey-bardachev-bcd403,Matvey Bardachev,19.0,Russia,186.0,Left,DF,Zenit,Russian Premier League,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6
david-biazrov-cd1a63,David Biazrov,22.0,Russia,193.0,Right,GK,Zenit,Russian Premier League,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dmitri-chistyakov-153ec4,Dmitri Chistyakov,31.0,Russia,185.0,Right,DF,Zenit,Russian Premier League,0,0,,0,0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,1.02,0.2,20.0,8.7,0.0,0.0,0.0,39.5,91.5,1.02,0.2,0.81,0.0,0.0,0.0,,29.73,0.2,50.5,2.44,1.63,36.45,0.41,0.81,1.22,3.46,1.63,57.1,0.41,0.2,1.43,,,,,,,,,,,,,,,,,,
mikhail-kerzhakov-962528,Mikhail Kerzhakov,38.0,Russia,191.0,Right,GK,Zenit,Russian Premier League,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.5,2.5,55.6,0.0,0.41,-0.2,,11.0,22.7,29.9,0.0,10.8,13.0,0.0,1.0,0.0,0.2
aleksandr-kovalenko-f6d11e,Aleksandr Kovalenko,22.0,Russia,177.0,,MF,Zenit,Russian Premier League,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5
vladimir-pavlov-b86fb1,Vladimir Pavlov,22.0,Russia,187.0,,GK,Zenit,Russian Premier League,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maksim-timofeev-3b6bd7,Maksim Timofeev,,Russia,185.0,,GK,Zenit,Russian Premier League,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ivan-oblyakov-9e488d,Ivan Oblyakov,27.0,Russia,175.0,Left,FW-MF,CSKA Moscow,Russian Premier League,29,2521,86.9,7,4,0.25,0.14,0.0,0.06,0.09,0.15,0.06,1.13,0.38,33.3,23.2,2.44,0.0,1.5,52.88,85.5,5.44,1.13,7.69,0.94,1.5,1.13,60.0,39.38,1.13,72.38,14.44,1.5,48.0,2.44,1.88,1.13,11.25,0.56,50.0,0.38,0.0,1.31,,,,,,,,,,,,,,,,,,10.0
